id,date,time-begin,time-end,exit,enter,active-around-burrow
Blanca,2019-06-30,21:55:20,21:58:01,0,1,1
Blanca,2019-08-07,21:15:38,21:15:40,0,0,1
Blanca,2019-07-14,18:14:35,18:34:10,1,0,1
Blanca,2019-07-15,18:03:31,18:18:33,1,0,1
Gala,2019-07-20,19:00:03,19:00:32,1,0,1
Gala,2019-07-27,0:53:10,0:58:15,0,1,1
Gala,2019-07-27,4:42:20,4:42:26,0,1,0
Gala,2019-07-27,19:50:32,19:53:54,1,0,1
Gala,2019-03-10,23:42:35,23:43:30,0,0,1
Gala,2019-06-10,22:36:32,22:37:14,0,0,1
Gala,2019-07-10,3:00:28,3:00:37,0,1,0
Gala,2019-07-10,23:59:34,0:15:15,1,0,0
Gala,2019-08-10,4:15:58,4:16:06,0,1,0
Gala,2019-08-10,22:55:52,22:56:27,1,0,0
Gala,2019-09-10,4:09:03,4:13:43,0,1,1
Gala,2019-09-10,23:20:08,23:20:30,1,0,0
Sara,2019-09-10,23:25:26,23:25:57,0,0,1
Gala,2019-10-10,21:25:33,21:30:28,0,0,1
Sara,2019-10-15,23:24:41,23:29:17,0,0,1
Gala,2019-10-16,1:56:18,2:01:08,0,1,1
Gala,2019-10-16,21:11:13,21:26:27,1,0,1
Sara,2019-10-16,21:11:13,21:26:27,1,0,1
Sara,2019-10-22,0:19:55,0:20:47,0,0,1
Gala,2019-10-22,4:05:37,4:08:50,0,1,1
Gala,2019-10-22,21:53:58,21:55:19,1,0,1
Sara,2019-10-22,22:01:26,22:03:20,1,0,1
Sara,2019-10-27,4:14:27,4:14:29,0,1,0
Sara,2019-10-27,22:29:48,22:29:51,1,0,0
Gala,2019-10-29,3:23:43,3:35:43,0,0,1
Sara,2019-10-23,20:19:45,20:30:52,0,1,1
Sara,2019-10-24,2:33:34,2:33:45,0,1,0
Sara,2019-10-24,22:38:43,22:38:50,1,0,0
Sara,2019-10-26,4:17:29,4:17:41,0,1,0
Sara,2019-10-26,22:53:17,22:53:24,1,0,0
Sara,2019-06-10,21:36:43,21:46:13,1,0,1
Sara,2019-07-10,2:39:13,2:47:44,0,1,1
Sara,2019-07-10,22:42:24,22:49:00,1,0,1
Mazebotti,2019-06-24,17:18:25,17:19:42,1,0,1
Mazebotti,2019-06-25,17:24:16,17:27:50,1,0,0
Mazebotti,2019-06-25,20:46:17,20:46:27,0,1,0
Mazebotti,2019-06-26,18:06:56,18:10:38,1,0,1
Mazebotti,2019-06-26,20:49:22,20:50:29,0,1,0
Mazebotti,2019-06-27,17:44:24,17:44:35,1,0,0
Mazebotti,2019-06-27,21:08:52,21:10:10,0,1,0
Mazebotti,2019-06-28,17:50:11,17:51:35,1,0,0
Mafalda,2019-06-23,18:06:43,18:27:14,1,0,1